	participant	target	time	age	gender	glasses			
1349	9	6	20,039	49	m	TRUE	981,911		
1350	9	7	12,245	49	m	TRUE	600,005		
1351	9	8	13,462	49	m	TRUE	659,638		
1352	9	3	2,334	49	m	TRUE	114,366		
1353	9	2	8,079	49	m	TRUE	395,871		
1354	9	7	6,83	49	m	TRUE	334,67		
1355	9	1	12,245	49	m	TRUE	600,005		
1356	9	3	11,945	49	m	TRUE	585,305		
1357	9	8	13,477	49	m	TRUE	660,373		
1358	9	2	12,211	49	m	TRUE	598,339		
1359	9	1	5,048	49	m	TRUE	247,352		
1360	9	6	26,355	49	m	TRUE	1291,395		
1361	9	4	25,456	49	m	TRUE	1247,344		
1362	9	8	2,332	49	m	TRUE	114,268		
1363	9	2	9,546	49	m	TRUE	467,754		
1364	9	8	9,245	49	m	TRUE	453,005		
1365	9	0	59,358	49	m	TRUE	2908,542		
1366	9	7	6,863	49	m	TRUE	336,287		
1367	9	2	10,729	49	m	TRUE	525,721		
1368	9	1	20,374	49	m	TRUE	998,326		
50	10	7	3,58	40	f	FALSE	143,2		
51	10	2	2,332	40	f	FALSE	93,28		
52	10	9	2,365	40	f	FALSE	94,6		
53	10	8	2,35	40	f	FALSE	94		
54	10	7	2,365	40	f	FALSE	94,6		
55	10	1	2,316	40	f	FALSE	92,64		
56	10	2	2,366	40	f	FALSE	94,64		
57	10	7	2,332	40	f	FALSE	93,28		
58	10	0	3,882	40	f	FALSE	155,28		
59	10	8	2,332	40	f	FALSE	93,28		
60	10	7	2,349	40	f	FALSE	93,96		
61	10	6	2,349	40	f	FALSE	93,96		
62	10	2	2,366	40	f	FALSE	94,64		
63	10	6	2,315	40	f	FALSE	92,6		
64	10	5	2,349	40	f	FALSE	93,96		
65	10	4	2,366	40	f	FALSE	94,64		
66	10	7	2,332	40	f	FALSE	93,28		
67	10	2	2,366	40	f	FALSE	94,64		
68	10	5	2,317	40	f	FALSE	92,68		
69	10	1	2,382	40	f	FALSE	95,28		
70	10	8	2,315	40	f	FALSE	92,6		
71	10	0	2,369	40	f	FALSE	94,76		
72	10	5	2,348	40	f	FALSE	93,92		
73	10	2	2,332	40	f	FALSE	93,28		
74	10	4	2,365	40	f	FALSE	94,6		
75	10	8	2,366	40	f	FALSE	94,64		
76	10	0	2,316	40	f	FALSE	92,64		
77	10	5	2,381	40	f	FALSE	95,24		
78	10	3	7,748	40	f	FALSE	309,92		
79	10	5	2,614	40	f	FALSE	104,56		
80	10	2	2,366	40	f	FALSE	94,64		
81	10	6	2,351	40	f	FALSE	94,04		
82	10	7	2,33	40	f	FALSE	93,2		
83	10	8	2,35	40	f	FALSE	94		
84	10	3	2,348	40	f	FALSE	93,92		
85	10	2	2,348	40	f	FALSE	93,92		
86	10	7	2,349	40	f	FALSE	93,96		
87	10	1	2,949	40	f	FALSE	117,96		
88	10	3	2,35	40	f	FALSE	94		
89	10	8	2,367	40	f	FALSE	94,68		
90	10	2	2,332	40	f	FALSE	93,28		
91	10	1	3,867	40	f	FALSE	154,68		
92	10	6	2,333	40	f	FALSE	93,32		
93	10	4	2,348	40	f	FALSE	93,92		
94	10	8	2,333	40	f	FALSE	93,32		
95	10	2	2,364	40	f	FALSE	94,56		
96	10	8	2,334	40	f	FALSE	93,36		
97	10	0	2,648	40	f	FALSE	105,92		
98	10	7	2,382	40	f	FALSE	95,28		
99	10	2	2,349	40	f	FALSE	93,96		
100	10	1	2,334	40	f	FALSE	93,36		
101	11	7	2,695	38	f	FALSE	102,41		
102	11	2	2,367	38	f	FALSE	89,946		
103	11	9	2,316	38	f	FALSE	88,008		
104	11	8	2,349	38	f	FALSE	89,262		
105	11	7	2,35	38	f	FALSE	89,3		
106	11	1	2,349	38	f	FALSE	89,262		
107	11	2	2,349	38	f	FALSE	89,262		
108	11	7	2,349	38	f	FALSE	89,262		
109	11	0	2,349	38	f	FALSE	89,262		
110	11	8	2,35	38	f	FALSE	89,3		
111	11	7	2,348	38	f	FALSE	89,224		
112	11	6	2,332	38	f	FALSE	88,616		
113	11	2	2,384	38	f	FALSE	90,592		
114	11	6	2,316	38	f	FALSE	88,008		
115	11	5	2,364	38	f	FALSE	89,832		
116	11	4	2,333	38	f	FALSE	88,654		
117	11	7	2,348	38	f	FALSE	89,224		
118	11	2	2,366	38	f	FALSE	89,908		
119	11	5	2,332	38	f	FALSE	88,616		
120	11	1	2,35	38	f	FALSE	89,3		
121	11	8	2,347	38	f	FALSE	89,186		
122	11	0	2,35	38	f	FALSE	89,3		
123	11	5	2,349	38	f	FALSE	89,262		
124	11	2	2,366	38	f	FALSE	89,908		
125	11	4	2,349	38	f	FALSE	89,262		
126	11	8	2,35	38	f	FALSE	89,3		
127	11	0	2,331	38	f	FALSE	88,578		
128	11	5	2,35	38	f	FALSE	89,3		
129	11	3	2,349	38	f	FALSE	89,262		
130	11	5	2,35	38	f	FALSE	89,3		
131	11	2	2,347	38	f	FALSE	89,186		
132	11	6	2,333	38	f	FALSE	88,654		
133	11	7	2,382	38	f	FALSE	90,516		
134	11	8	2,333	38	f	FALSE	88,654		
135	11	3	2,332	38	f	FALSE	88,616		
136	11	2	2,366	38	f	FALSE	89,908		
137	11	7	2,349	38	f	FALSE	89,262		
138	11	1	2,35	38	f	FALSE	89,3		
139	11	3	2,333	38	f	FALSE	88,654		
140	11	8	2,349	38	f	FALSE	89,262		
141	11	2	2,366	38	f	FALSE	89,908		
142	11	1	2,316	38	f	FALSE	88,008		
143	11	6	2,365	38	f	FALSE	89,87		
144	11	4	2,35	38	f	FALSE	89,3		
145	11	8	2,333	38	f	FALSE	88,654		
146	11	2	2,365	38	f	FALSE	89,87		
147	11	8	2,333	38	f	FALSE	88,654		
148	11	0	2,366	38	f	FALSE	89,908		
149	11	7	2,333	38	f	FALSE	88,654		
150	11	2	2,365	38	f	FALSE	89,87		
151	11	1	2,35	38	f	FALSE	89,3		
152	12	7	2,397	8	f	FALSE	19,176		
153	12	2	2,367	8	f	FALSE	18,936		
154	12	9	2,332	8	f	FALSE	18,656		
155	12	8	2,349	8	f	FALSE	18,792		
156	12	7	2,333	8	f	FALSE	18,664		
157	12	1	2,35	8	f	FALSE	18,8		
158	12	2	2,367	8	f	FALSE	18,936		
159	12	7	4,748	8	f	FALSE	37,984		
160	12	0	2,348	8	f	FALSE	18,784		
161	12	8	2,333	8	f	FALSE	18,664		
162	12	7	2,349	8	f	FALSE	18,792		
163	12	6	2,348	8	f	FALSE	18,784		
